event_id,match_name,event_start,time_stamp,home_odds,even_odds,away_odds,over_4_5_cards,over_2_5_goals
1024182599,Real Oviedo - Espanyol,2025-10-17T20:00:00,2025-10-13T11:59:03,2900,3250,2430,1900,2200
1024136782,1. FC Union Berlin - Borussia Mönchengladbach,2025-10-17T19:30:00,2025-10-13T11:59:03,2250,3600,2900,1800,1780
1024143698,PSG - Strasbourg,2025-10-17T19:45:00,2025-10-13T11:59:03,1280,6000,9500,1200,1460
1024143698,Hertha Berlin - Augsburg,2025-10-17T19:45:00,2025-10-13T11:59:03,1280,6000,9500,3000,1460
1023224927,Portugal - Hungary,2025-10-14T19:45:00,2025-10-14T10:00:50,1170,7000,15000,2400,1400
1022335878,Republic of Ireland - Armenia,2025-10-14T19:45:00,2025-10-14T10:00:50,1400,4700,7000,2100,1730
1023168658,Latvia - England,2025-10-14T19:45:00,2025-10-14T10:00:50,41000,12500,1040,4200,1320
1023224969,Italy - Israel,2025-10-14T19:45:00,2025-10-14T10:00:51,1160,7500,15000,3050,1360
1022335865,Turkey - Georgia,2025-10-14T19:45:00,2025-10-14T10:00:51,1530,4350,5600,2080,1620
