Index,Försäljningspris,Säljare,Bränsle,Växellåda,Miltal,Modellår,Biltyp,Drivning,Hästkrafter,Färg,Motorstorlek,Datum_i_trafik,Märke,Modell
748,"209,500 kr",Företag,Diesel,Automat,"  13,700 ",2018,Kombi,Fyrhjulsdriven,192,Brun,2400 ,7/2/2018,Volvo,V60 Cross Country
749,"449,900 kr",Företag,Diesel,Automat,"  8,414 ",2018,SUV,Fyrhjulsdriven,200,Grå,1969 ,21/6/2018,Volvo,XC90
750,"299,000 kr",Företag,Diesel,Automat,"  8,511 ",2019,Kombi,Fyrhjulsdriven,192,Mörkbrun (Brun),1969 ,18/10/2018,Volvo,V90
751,"219,500 kr",Företag,Diesel,Automat,"  22,500 ",2019,Kombi,Fyrhjulsdriven,192,Grå,1969 ,7/3/2019,Volvo,V60 Cross Country
752,"139,900 kr",Företag,Diesel,Automat,"  16,181 ",2013,Sedan,Tvåhjulsdriven,164,Mörkblå,1984 ,29/6/2012,Volvo,S80
753,"309,900 kr",Företag,Diesel,Automat,"  8,900 ",2018,Sedan,,191,,,,Volvo,S90
754,"29,900 kr",Företag,Bensin,Manuell,"  34,531 ",2000,Kombi,Tvåhjulsdriven,251,Ljusblå (Blå),,16/3/2000,Volvo,V70
755,"119,800 kr",Företag,Diesel,Automat,"  16,013 ",2009,Kombi,Tvåhjulsdriven,164,Ljusgrå (Grå),2400,16/10/2008,Volvo,V70
756,"139,800 kr",Företag,Diesel,Manuell,"  18,331 ",2015,Kombi,Tvåhjulsdriven,181,Röd,1969,18/7/2014,Volvo,V70
757,"99,900 kr",Företag,Diesel,Manuell,"  15,200 ",2011,Kombi,Tvåhjulsdriven,164,Ljusbrun (Brun),1984,8/12/2010,Volvo,V70
758,"107,900 kr",Företag,Diesel,Manuell,"  26,970 ",2015,Kombi,Tvåhjulsdriven,181,Blå,1969,29/1/2015,Volvo,V70
759,"89,900 kr",Företag,Miljöbränsle/Hybrid,Manuell,"  27,400 ",2012,Kombi,Tvåhjulsdriven,180,Blå,1596,17/6/2011,Volvo,V70
760,"124,000 kr",Företag,Diesel,Automat,"  28,555 ",2015,Kombi,Tvåhjulsdriven,181,Brun (Brunmetallic Metallic),1969,12/9/2014,Volvo,V70
761,"99,000 kr",Företag,Miljöbränsle/Hybrid,Automat,"  26,000 ",2011,Kombi,Tvåhjulsdriven,232,Vit,2521,10/12/2010,Volvo,V70
762,"79,900 kr",Företag,Diesel,Automat,"  55,000 ",2015,Kombi,Tvåhjulsdriven,181,Svart,1969,13/11/2014,Volvo,V70
763,"16,900 kr",Företag,Bensin,Manuell,"  33,204 ",2001,Kombi,Tvåhjulsdriven,141,Ljusblå (Blå),,12/12/2000,Volvo,V70
764,"110,000 kr",Företag,Diesel,Automat,"  23,890 ",2012,Kombi,Tvåhjulsdriven,164,Blå,1984,28/6/2011,Volvo,V70
765,"39,500 kr",Företag,Bensin,Manuell,"  31,000 ",2005,Kombi,Tvåhjulsdriven,141,Mörkblå (Blå),2435,10/12/2004,Volvo,V70
766,"77,900 kr",Företag,Bensin,Manuell,"  19,300 ",2008,Kombi,Tvåhjulsdriven,146,Ljusblå (Blå),1999,20/12/2007,Volvo,V70
767,"118,800 kr",Företag,Diesel,Automat,"  19,426 ",2013,Kombi,Tvåhjulsdriven,115,Ljusbrun (Brun),1560,18/10/2012,Volvo,V70
768,"138,900 kr",Företag,Diesel,Manuell,"  14,200 ",2014,Kombi,Tvåhjulsdriven,116,Blå (Blå Metallic),1560,5/6/2014,Volvo,V70
769,"84,990 kr",Företag,Miljöbränsle/Hybrid,Automat,"  19,301 ",2009,Kombi,Tvåhjulsdriven,146,Röd,1999,15/4/2009,Volvo,V70
770,"74,900 kr",Företag,Diesel,Manuell,"  22,000 ",2011,Kombi,Tvåhjulsdriven,109,Grå,1560,22/6/2010,Volvo,V70
771,"49,000 kr",Företag,Diesel,Manuell,"  36,999 ",2010,Kombi,Tvåhjulsdriven,176,Vit,2400,19/3/2010,Volvo,V70
772,"69,900 kr",Företag,Diesel,Automat,"  31,500 ",2011,Kombi,Tvåhjulsdriven,164,Svart,1984,25/8/2011,Volvo,V70
773,"129,900 kr",Företag,Miljöbränsle/Hybrid,Manuell,"  11,705 ",2011,Kombi,Tvåhjulsdriven,232,Svart,2521,23/9/2010,Volvo,V70
774,"153,800 kr",Företag,Diesel,Manuell,"  17,528 ",2015,Kombi,Tvåhjulsdriven,181,Silver,1969,16/7/2014,Volvo,V70
775,"189,900 kr",Företag,Diesel,Automat,"  10,750 ",2015,Kombi,Fyrhjulsdriven,181,Röd,2400,24/11/2014,Volvo,V70
776,"179,900 kr",Företag,Diesel,Automat,"  21,646 ",2015,Kombi,Fyrhjulsdriven,181,Röd,2400,27/2/2015,Volvo,V70
777,"149,900 kr",Företag,Diesel,Manuell,"  15,150 ",2015,Kombi,Tvåhjulsdriven,181,Svart,1969,6/10/2014,Volvo,V70
778,"184,900 kr",Företag,Diesel,Automat,"  15,500 ",2014,Kombi,Tvåhjulsdriven,215,Röd,2400,15/10/2013,Volvo,V70
779,"29,500 kr",Företag,Bensin,Automat,"  29,902 ",2006,Kombi,Tvåhjulsdriven,170,Röd,2435,11/11/2005,Volvo,V70
780,"218,900 kr",Företag,Diesel,Automat,"  7,962 ",2016,Kombi,Tvåhjulsdriven,150,Grå,1969,31/7/2015,Volvo,V70
781,"219,800 kr",Företag,Diesel,Automat,"  10,289 ",2016,Kombi,Tvåhjulsdriven,184,Grå,1969,27/4/2016,Volvo,V70
782,"24,900 kr",Företag,Bensin,Automat,"  24,900 ",2000,Kombi,Tvåhjulsdriven,200,Svart,,20/3/2000,Volvo,V70
783,"205,000 kr",Företag,Bensin,Manuell,"  8,384 ",2016,Kombi,Tvåhjulsdriven,191,Vit,1969,29/9/2015,Volvo,V70
784,"53,900 kr",Företag,Miljöbränsle/Hybrid,Manuell,"  27,332 ",2012,Kombi,Tvåhjulsdriven,232,Vit,2521,1/8/2012,Volvo,V70
785,"74,999 kr",Företag,Diesel,Automat,"  35,800 ",2011,Kombi,Tvåhjulsdriven,206,Vit,2400,16/11/2010,Volvo,V70
786,"84,900 kr",Företag,Diesel,Manuell,"  20,774 ",2011,Kombi,Tvåhjulsdriven,109,Grå,1560,29/12/2010,Volvo,V70
787,"124,900 kr",Företag,Diesel,Manuell,"  13,700 ",2013,Kombi,Tvåhjulsdriven,116,Grå,1560,11/6/2012,Volvo,V70
788,"139,900 kr",Företag,Diesel,Manuell,"  23,100 ",2016,Kombi,Tvåhjulsdriven,150,Röd,1969,25/4/2016,Volvo,V70
789,"129,500 kr",Företag,Diesel,Manuell,"  28,370 ",2015,Kombi,Tvåhjulsdriven,181,Svart,1969,1/10/2014,Volvo,V70
790,"109,900 kr",Företag,Diesel,Manuell,"  23,700 ",2015,Kombi,Tvåhjulsdriven,181,Ljusbrun (Brun),1969,12/9/2014,Volvo,V70
791,"109,900 kr",Företag,Diesel,Automat,"  19,084 ",2012,Kombi,Tvåhjulsdriven,116,Röd,1560,29/2/2012,Volvo,V70
792,"128,800 kr",Företag,Diesel,Manuell,"  18,200 ",2013,Kombi,Tvåhjulsdriven,136,Svart,1984,27/5/2013,Volvo,V70
793,"89,900 kr",Företag,Miljöbränsle/Hybrid,Automat,"  16,717 ",2011,Kombi,Tvåhjulsdriven,146,Ljusbrun (Brun),1999,21/12/2010,Volvo,V70
794,"99,000 kr",Företag,Diesel,Manuell,"  19,765 ",2012,Kombi,Tvåhjulsdriven,116,Grå,1560,31/1/2012,Volvo,V70
795,"119,500 kr",Företag,Miljöbränsle/Hybrid,Automat,"  23,700 ",2012,Kombi,Tvåhjulsdriven,180,Blå,1596,20/4/2012,Volvo,V70
796,"219,900 kr",Företag,Bensin,Automat,"  8,602 ",2016,Kombi,Tvåhjulsdriven,191,Vit,1969,13/10/2015,Volvo,V70
797,"47,500 kr",Företag,Miljöbränsle/Hybrid,Automat,"  37,762 ",2009,Kombi,Tvåhjulsdriven,146,Svart,1999,20/3/2009,Volvo,V70
798,"89,900 kr",Företag,Diesel,Automat,"  21,613 ",2013,Kombi,Tvåhjulsdriven,116,Ljusgrå (Grå),1560,19/12/2012,Volvo,V70
799,"135,000 kr",Företag,Miljöbränsle/Hybrid,Manuell,"  14,521 ",2013,Kombi,Tvåhjulsdriven,183,Grön,1596,25/6/2012,Volvo,V70
800,"99,000 kr",Företag,Miljöbränsle/Hybrid,Manuell,"  11,170 ",2009,Kombi,Tvåhjulsdriven,146,Grön,1999,25/9/2008,Volvo,V70
801,"119,900 kr",Företag,Diesel,Manuell,"  17,300 ",2011,Kombi,Tvåhjulsdriven,164,Grå,1984,23/7/2010,Volvo,V70
802,"139,900 kr",Företag,Diesel,Manuell,"  18,100 ",2015,Kombi,Tvåhjulsdriven,116,Ljusbrun (Brun),1560,7/10/2014,Volvo,V70
803,"79,500 kr",Företag,Diesel,Automat,"  21,310 ",2009,Kombi,Tvåhjulsdriven,164,Ljusgrå (Grå),2400,4/9/2008,Volvo,V70
804,"199,800 kr",Företag,Diesel,Automat,"  12,861 ",2014,Kombi,Tvåhjulsdriven,181,Vit,1969,6/5/2014,Volvo,V70
805,"109,900 kr",Företag,Bensin,Automat,"  24,700 ",2013,Kombi,Tvåhjulsdriven,180,Vit (Brun),,23/3/1990,Volvo,V70
806,"124,900 kr",Företag,Diesel,Manuell,"  24,500 ",2013,Kombi,Tvåhjulsdriven,164,Vit,1984,3/9/2013,Volvo,V70
807,"129,900 kr",Företag,Diesel,Automat,"  19,000 ",2013,Kombi,Tvåhjulsdriven,164,Röd,1984,3/4/2013,Volvo,V70
